,question,choices,answer,rationales
0,"""There are 10 apples on an apple tree.  Three fall off.  Now there are X apples.""  What is this an example of?","['park', 'coloring book', 'garden center', 'math problem', 'gravity']",math problem,"1. The correct answer is (D) math problem. This is because the question describes a situation where there are initially 10 apples on an apple tree, and then 3 of them fall off, resulting in an unknown number of remaining apples denoted as X. This is a mathematical problem that involves counting and subtraction."
1,"A John is a bum.  Much like the stereotype, he lives near this sort of transportation infrastructure. Where does he live?","['bus depot', 'beach', 'train station', 'bridge', 'bridge']",bridge,2. The correct answer is (A) bus depot. This is because the question states that John is a bum and lives near a transportation infrastructure that is associated with the stereotype of a bum. The most commonly associated transportation infrastructure with bums is a bus depot.
2,"A bad person places little value on being honest, acting without pretense or being what?","['excellent', 'upright', 'premium', 'competent', 'sincere']",sincere,"3. The correct answer is (B) upright. This is because the question states that a bad person places little value on being honest, acting without pretense, or being something else. Among the choices, being upright is the opposite of being bad and dishonest."
3,"A bald eagle flies over St. Paul, where is it?","['texas', 'thermal', 'minnesota', 'canada', 'photograph']",minnesota,"4. The correct answer is (C) Minnesota. This is because the question describes a situation where a bald eagle is flying over St. Paul, which is a city in Minnesota. Therefore, the location of the bald eagle is in Minnesota."
4,"A battleship is a powerful vessel.  If you need something similar but faster, what would you use?","['yatch', 'corvette', 'aircraft carrier', 'destroyer', 'patrol boat']",corvette,"5. The correct answer is (D) destroyer. This is because the question asks for a vessel that is similar to a battleship but faster. Among the choices, a destroyer is a type of ship that is known for its speed and is often used for escort and defense purposes."
5,"A beaver is taking logs from a Pacific beach, where is it located?","['washington', 'ontario', 'books', 'canada', 'in russia']",washington,"6. The correct answer is (D) Canada. This is because the question describes a situation where a beaver is taking logs from a Pacific beach. Beavers are native to North America, and since the question does not specify a specific state or region, the most logical answer is Canada, as it has a large population of beavers."
6,"A big fountain was the center piece of the renovation, it had all been paid for by a grant to the what?","['city', 'state', 'front of casino', 'rome', 'public place']",city,"7. The correct answer is (A) city. This is because the question states that a big fountain was the centerpiece of a renovation project and it was paid for by a grant. Among the choices, a grant to the city is the most logical answer, as cities often receive grants for urban development projects."
7,"A boss may like an employee's ambition, so the employee may get put what?","['in charge of project', 'conquer opponent', 'go to school', 'begin work', 'webisode']",in charge of project,"8. The correct answer is (A) in charge of project. This is because the question states that a boss may like an employee's ambition and as a result, the employee may get put into a position of authority. Among the choices, being put in charge of a project is the most likely outcome when a boss recognizes an employee's ambition and potential."
8,"A boy is leaving line because he's tired of listening to the teacher's orders, what might the teacher give?","['punishment', 'utter chaos', 'trouble', 'have to start over', 'high five']",punishment,"9. The correct answer is (A) punishment. This is because the question describes a situation where a boy is leaving a line because he is tired of listening to the teacher's orders. Leaving the line without permission is a violation of the teacher's instructions, and the most logical consequence in this scenario would be punishment."
9,"A bride and groom are taking care of proposals, what is the likely ceremony?","['efficiency', 'getting work done', 'marriage', 'finishing up', 'results']",marriage,"10. The correct answer is (C) marriage. This is because the question states that a bride and groom are taking care of proposals, which implies that they are planning for a wedding ceremony. Among the choices, marriage is the most likely ceremony associated with bride and groom."
