|premise|hypothesis|rationales
0|A man with a white camp is standing on a platform in front of a large black cylinder device, and fabric on a clothesline.|A man is hanging off of a clothesline.|"1. Premise: A man with a white camp is standing on a platform in front of a large black cylinder device, and fabric on a clothesline.
Hypothesis: A man is hanging off of a clothesline.
Answer: Contradiction. The premise describes a man standing on a platform with a white camp, in front of a black cylinder device and fabric on a clothesline. There is no mention of the man hanging off of a clothesline, which contradicts the hypothesis."
1|Two girls wearing skirts like the flag of Great Britain.|a couple want to eat a flag.|"2. Premise: Two girls wearing skirts like the flag of Great Britain.
Hypothesis: A couple want to eat a flag.
Answer: Contradiction. The premise describes two girls wearing skirts resembling the flag of Great Britain. There is no mention of a couple wanting to eat a flag. This contradicts the hypothesis."
2|Dog leaps from water while woman kneels on the dock playing with him|A woman and dog sit on a dock together.|"3. Premise: Dog leaps from water while woman kneels on the dock playing with him.
Hypothesis: A woman and dog sit on a dock together.
Answer: Entailment. The premise describes a dog leaping from water while a woman kneels on the dock playing with him. This entails that a woman and dog are on the dock together."
3|A bald man in an orange shirt and jeans is vacuuming an office carpet with a carry-along canister vacuum.|The clothed man is cleaning the carpet|"4. Premise: A bald man in an orange shirt and jeans is vacuuming an office carpet with a carry-along canister vacuum.
Hypothesis: The clothed man is cleaning the carpet.
Answer: Entailment. The premise describes a bald man in an orange shirt and jeans vacuuming an office carpet with a carry-along canister vacuum. This entails that the clothed man is indeed cleaning the carpet."
4|A boy stands beside a railing at a go kart track.|The boy is going to ride a go kart.|"5. Premise: A boy stands beside a railing at a go kart track.
Hypothesis: The boy is going to ride a go kart.
Answer: Neutral. The premise describes a boy standing beside a railing at a go kart track. There is no indication whether the boy is going to ride a go kart or not, so the hypothesis cannot be determined."
5|A street performer playing banjo on a city street.|a person playing an instrument in the street|"6. Premise: A street performer playing banjo on a city street.
Hypothesis: A person playing an instrument in the street.
Answer: Entailment. The premise describes a street performer playing banjo on a city street. This entails that a person is indeed playing an instrument in the street."
6|Group of blue shirted people.|A group of people.|"7. Premise: Group of blue shirted people.
Hypothesis: A group of people.
Answer: Entailment. The premise describes a group of blue shirted people. This entails that there is indeed a group of people."
7|A woman dressed in all white in a crosswalk.|A woman in a all white in a crosswalk.|"8. Premise: A woman dressed in all white in a crosswalk.
Hypothesis: A woman in all white in a crosswalk.
Answer: Entailment. The premise describes a woman dressed in all white in a crosswalk. This entails that there is indeed a woman in all white in a crosswalk."
8|Behind the fence spectators are looking at the golfer with the club in his hand.|The people are watching the golfer.|"9. Premise: Behind the fence spectators are looking at the golfer with the club in his hand.
Hypothesis: The people are watching the golfer.
Answer: Entailment. The premise describes spectators behind the fence looking at the golfer with the club in his hand. This entails that the people are indeed watching the golfer."
9|The man and one of the women have their hands raised.|The man and one of the women have their hands raised to answer a question.|"10. Premise: The man and one of the women have their hands raised.
Hypothesis: The man and one of the women have their hands raised to answer a question.
Answer: Neutral. The premise describes the man and one of the women having their hands raised. It is not specified whether they have their hands raised to answer a question or for another reason, so the hypothesis cannot be determined."
10|A line of people are standing on the edge of a snow covered path overlooking the clouds in the mountains.|girl in hammoch alone|"1. The premise describes a line of people standing on the edge of a snow-covered path overlooking the clouds in the mountains. The hypothesis suggests that there is a girl alone in a hammock. These two statements are contradictory because the premise does not mention a girl or a hammock, but rather a line of people. Therefore, the answer is ""contradiction."""
11|Two cyclists racing to the finish line.|The cyclists race each other outdoors.|"2. The premise states that two cyclists are racing to the finish line. The hypothesis suggests that the cyclists are racing each other outdoors. These two statements are equivalent as they both describe cyclists racing, and there is no contradiction between them. Therefore, the answer is ""entailment."""
12|A woman on a bicycle stops for a moment to converse.|A female bicyclist chats briefly with a chum.|"3. The premise describes a woman on a bicycle stopping to converse. The hypothesis suggests that a female bicyclist chats briefly with a chum. These two statements are equivalent as they both describe a woman on a bicycle engaged in conversation. There is no contradiction between them. Therefore, the answer is ""entailment."""
13|Two people walk down the street.|People walking down a street.|"4. The premise states that two people are walking down the street. The hypothesis suggests that people are walking down a street. These two statements are equivalent as they both describe people walking down a street. There is no contradiction between them. Therefore, the answer is ""entailment."""
14|A Teenage boy does tricks on his skateboard along the edge of a three-foot, graffiti covered wall's edge|The young boy is sleeping on the wall.|"5. The premise describes a teenage boy doing tricks on his skateboard along the edge of a graffiti-covered wall. The hypothesis suggests that the young boy is sleeping on the wall. These two statements are contradictory as one depicts the boy actively performing tricks while the other portrays him sleeping. Therefore, the answer is ""contradiction."""
15|A black dog jumps into a pool that has many yellow balls in it.|The dog is a purebred Golden Retriever.|"6. The premise describes a black dog jumping into a pool with many yellow balls. The hypothesis suggests that the dog is a purebred Golden Retriever. These two statements are neutral as the premise does not provide information about the dog's breed. Therefore, the answer is ""neutral."""
16|A little boy with rain boots takes a walk in the park.|The little boy is walking in the park as it's about to rain.|"7. The premise states that a little boy with rain boots takes a walk in the park. The hypothesis suggests that the little boy is walking in the park as it's about to rain. These two statements are equivalent as they both describe a little boy walking in the park. There is no contradiction between them. Therefore, the answer is ""entailment."""
17|A little girl, with blond-hair and a red shirt on, is playing in a big box.|A girl playing in a box|"8. The premise describes a little girl with blond hair and a red shirt playing in a big box. The hypothesis suggests that a girl is playing in a box. These two statements are equivalent as they both describe a girl playing in a box. There is no contradiction between them. Therefore, the answer is ""entailment."""
18|A man and boy is looking for something on the ground.|A man and boy looking for pennies on the ground.|"9. The premise states that a man and a boy are looking for something on the ground. The hypothesis suggests that a man and a boy are looking for pennies on the ground. These two statements are equivalent as they both describe a man and a boy searching for something on the ground. There is no contradiction between them. Therefore, the answer is ""entailment."""
19|A Woman working a food stand with lots of desserts.|The woman is serving food.|"10. The premise describes a woman working at a food stand with lots of desserts. The hypothesis suggests that the woman is serving food. These two statements are equivalent as they both describe a woman involved in food-related activities. There is no contradiction between them. Therefore, the answer is ""entailment."""
20|A blond woman is in her kitchen holding a knife and graham crackers as she is making pie with cranberries and cherries.|The woman is making a pie with blueberries and walnuts.|"1. Rationale: The premise describes a blond woman in her kitchen making pie with cranberries and cherries. The hypothesis states that she is making a pie with blueberries and walnuts. There is no direct contradiction between the premise and the hypothesis, as they describe different ingredients for the pie. However, the premise does not entail or support the hypothesis either, as it provides no information about the specific ingredients being used. Therefore, the answer is ""neutral""."
21|"The little girl tackles a man and makes the universal sign for ""Touchdown!"""|A man and a girl are eating dinner in a restaurant.|"2. Rationale: The premise states that a little girl tackles a man and makes the universal sign for ""Touchdown!"" The hypothesis suggests that a man and a girl are eating dinner in a restaurant. These two statements do not directly contradict each other, as they describe different actions taking place. However, the premise does not provide any information to support or entail the hypothesis. Therefore, the answer is ""neutral""."
22|A man in yellow and green shorts jumping in a living room.|A man in yellow and green shorts jumping to the moon.|"3. Rationale: The premise describes a man in yellow and green shorts jumping in a living room. The hypothesis states that the same man is jumping to the moon. This is a clear contradiction, as it is not physically possible for someone to jump to the moon from a living room. Therefore, the answer is ""contradiction""."
23|Four ladies and one man practicing music in a living room.|A musician sing into a microphone.|"4. Rationale: The premise states that four ladies and one man are practicing music in a living room. The hypothesis suggests that a musician is singing into a microphone. This statement is not directly contradicted by the premise, as it is possible for the man in the living room to be a musician singing into a microphone. However, the premise does not directly entail or support the hypothesis either, as it does not explicitly mention singing or a microphone. Therefore, the answer is ""neutral""."
24|Two children holding up peace signs and smiling.|A couple of children are smiling and holding up peace signs.|"5. Rationale: The premise describes two children holding up peace signs and smiling. The hypothesis states that a couple of children are smiling and holding up peace signs. These two statements are very similar and describe the same actions. The premise directly entails and supports the hypothesis, as it provides the exact information described in the hypothesis. Therefore, the answer is ""entailment""."
25|Musicians playing to a crowd of people on the street.|The street has no people.|"6. Rationale: The premise states that musicians are playing to a crowd of people on the street. The hypothesis suggests that the street has no people. This is a clear contradiction, as the premise clearly states that there is a crowd of people on the street. Therefore, the answer is ""contradiction""."
26|A man is standing on a dock with nothing on but a towel around his waist.|A man is outside standing while the boat he is waiting for arrives.|"7. Rationale: The premise describes a man standing on a dock with only a towel around his waist. The hypothesis states that a man is standing outside while waiting for a boat to arrive. These two statements are not contradictory, as the man in the premise could be waiting for a boat to arrive outside. However, the premise does not directly entail or support the hypothesis, as it does not mention waiting or a boat. Therefore, the answer is ""neutral""."
27|A young man reaches for green apples to put in a box.|a young guy puts apples in a box for later|"8. Rationale: The premise states that a young man is reaching for green apples to put in a box. The hypothesis suggests that a young guy is putting apples in a box for later. These two statements are very similar and describe the same action. The premise directly entails and supports the hypothesis, as it provides the exact information described in the hypothesis. Therefore, the answer is ""entailment""."
28|An old chinese man is looking at a computer monitor with his hands on his cheeks.|A chinese man is no a computer looking at images and is shocked, so he puts his hands on his cheeks.|"9. Rationale: The premise describes an old Chinese man looking at a computer monitor with his hands on his cheeks. The hypothesis states that a Chinese man is on a computer looking at images and is shocked, so he puts his hands on his cheeks. These two statements are very similar and describe the same action. The premise directly entails and supports the hypothesis, as it provides the exact information described in the hypothesis. Therefore, the answer is ""entailment""."
29|A woman walking down the street on the sidewalk.|The woman is swimming with sharks.|"10. Rationale: The premise describes a woman walking down the street on the sidewalk. The hypothesis suggests that the woman is swimming with sharks. This is a clear contradiction, as walking down the street on the sidewalk is not the same as swimming with sharks. Therefore, the answer is ""contradiction""."
30|Young women with a green beanie bending down to pick up a basket from a four legged desk.|A young woman is taking a basket of food to her grandmother.|"1. Rationale: The premise describes a young woman picking up a basket from a desk, while the hypothesis suggests she is taking the basket to her grandmother. These statements are not contradictory because it is possible for the young woman to be picking up the basket to bring to her grandmother.
Answer: Entailment"
31|Two men relaxing in a bakery|There are two men enjoying a pastry.|"2. Rationale: The premise states that two men are relaxing in a bakery, and the hypothesis suggests they are enjoying a pastry. These statements are not contradictory as it is conceivable for people to relax in a bakery while enjoying pastries.
Answer: Entailment"
32|Men and women view cows, guns and symbols in pieces in a art gallery.|people are in a gallary|"3. Rationale: The premise indicates that men and women are viewing various pieces in an art gallery, while the hypothesis simply states that people are in a gallery. The hypothesis is a generalization of the premise and is consistent with it.
Answer: Entailment"
33|This young girl is enjoying the innocence of childhood and warm weather.|The girl is outside.|"4. Rationale: The premise describes a young girl enjoying childhood and warm weather, and the hypothesis suggests the girl is outside. The hypothesis aligns with the premise as being outside is consistent with enjoying warm weather and the innocence of childhood.
Answer: Entailment"
34|two teams of players playing basketball on a court outside.|A man shark fishing on a boat|"5. Rationale: The premise portrays two teams playing basketball outside, while the hypothesis mentions a man shark fishing on a boat. These statements are unrelated and do not contradict each other.
Answer: Neutral"
