,premise,hypothesis,rationales
0,Two topless men and a woman wearing a dress are splashing around waist deep in ice cold water; the trees in the background have no leaves and the ground is covered with snow.,People are in water.,"1. Premise: Two topless men and a woman wearing a dress are splashing around waist deep in ice-cold water; the trees in the background have no leaves and the ground is covered with snow.
Hypothesis: People are in water.

The premise clearly states that there are two topless men and a woman wearing a dress splashing around in water. This supports the hypothesis that people are in water. Therefore, the correct answer is ""entailment"".

"
1,Three women walk down a city street; one looks inside her handbag as she walks.,Three women chat at home.,"2. Premise: Three women walk down a city street; one looks inside her handbag as she walks. Hypothesis: Three women chat at home.  The premise describes three women walking down a city street, with one of them looking inside her handbag. There is no information provided about the women chatting at home. Therefore, there is no clear relationship between the premise and the hypothesis. The correct answer is ""neutral"".  "
2,Two male dancers dressed in blue shirts and black pants perform a routine in front of six women sitting beside them.,Nobody has a shirt.,"3. Premise: Two male dancers dressed in blue shirts and black pants perform a routine in front of six women sitting beside them.
Hypothesis: Nobody has a shirt.

The premise states that two male dancers are dressed in blue shirts and black pants. The hypothesis states that nobody has a shirt. This contradicts the information provided in the premise, which clearly mentions that the male dancers are wearing blue shirts. Therefore, the correct answer is ""contradiction"".

"
3,"Two men and a woman in shorts and t-shirts, carrying backpacks, pose next to a trail sign in the snow.",They are all women.,"4. Premise: Two men and a woman in shorts and t-shirts, carrying backpacks, pose next to a trail sign in the snow.
Hypothesis: They are all women.

The premise describes two men and a woman posing next to a trail sign. The hypothesis states that they are all women. The information provided in the premise supports the hypothesis, as it mentions the presence of a woman among the individuals mentioned. Therefore, the correct answer is ""entailment"".

"
4,Two women in sunglasses are crossing a street in a city.,Nobody has sunglasses.,"5. Premise: Two women in sunglasses are crossing a street in a city.
Hypothesis: Nobody has sunglasses.

The premise states that two women are crossing a street in sunglasses. The hypothesis states that nobody has sunglasses. This contradicts the information provided in the premise, which clearly mentions that the women are wearing sunglasses. Therefore, the correct answer is ""contradiction"".

"
5,A man in white shirt and jeans leans over with locked legs to paint the top of a building overlooking a gated yard.,The man is walking down the street,"6. Premise: A man in white shirt and jeans leans over with locked legs to paint the top of a building overlooking a gated yard.
Hypothesis: The man is walking down the street.

The premise describes a man leaning over to paint the top of a building. There is no information provided about the man walking down the street. Therefore, there is no clear relationship between the premise and the hypothesis. The correct answer is ""neutral"".

"
6,A couple takes a picture of themselves kissing in front of tulips.,The couple kiss in front of Mickey Mouse.,"7. Premise: A couple takes a picture of themselves kissing in front of tulips.
Hypothesis: The couple kiss in front of Mickey Mouse.

The premise describes a couple taking a picture of themselves kissing in front of tulips. The hypothesis states that the couple kiss in front of Mickey Mouse. There is no information provided about the couple being in front of Mickey Mouse. Therefore, there is no clear relationship between the premise and the hypothesis. The correct answer is ""neutral"".

"
7,Black people dancing in a Boston square.,Children are doing a may day dance.,"8. Premise: Black people dancing in a Boston square.
Hypothesis: Children are doing a May Day dance.

The premise describes black people dancing in a Boston square. The hypothesis states that children are doing a May Day dance. There is no information provided about the race of the people or the age of the dancers. Therefore, there is no clear relationship between the premise and the hypothesis. The correct answer is ""neutral"".

"
8,"A young female softball outfielder has just thrown a ball, while players run to their bases.",Nobody is throwing,"9. Premise: A young female softball outfielder has just thrown a ball, while players run to their bases.
Hypothesis: Nobody is throwing.

The premise states that a young female softball outfielder has just thrown a ball. The hypothesis states that nobody is throwing. This contradicts the information provided in the premise, which clearly mentions the outfielder throwing a ball. Therefore, the correct answer is ""contradiction"".

"
9,The sun is setting behind a group of people.,The run is rising in front of the people.,"10. Premise: The sun is setting behind a group of people.
Hypothesis: The run is rising in front of the people.

The premise describes the sun setting behind a group of people. The hypothesis states that the run is rising in front of the people. This contradicts the information provided in the premise, which clearly mentions the sun setting behind the people. Therefore, the correct answer is ""contradiction""."
