premise,hypothesis,prompt,rationale
Where is likely to have a large door?,"['van', 'building', 'apartment', ""neighbor's house"", 'wall']","Questions: Where is likely to have a large door?, Choices: (A) van, (B) building, (C) apartment, (D) neighbor's house, (E) wall. What is the correct answer to the question 'Where is likely to have a large door?' with the options van, building, apartment, neighbor's house wall? Provide a straightforward explanation. 
","1. The correct answer is (B) building. A building is likely to have a large door because it needs to accommodate many people and vehicles entering and exiting. A van, an apartment, a neighbor's house, and a wall are less likely to have a large door compared to a building.

"
Where is likely to have a lot of fire extinguishers?,"['garage', 'hospital', 'boat', 'house', 'doll house']","Questions: Where is likely to have a lot of fire extinguishers?, Choices: (A) garage, (B) hospital, (C) boat, (D) house, (E) doll house. What is the correct answer to the question 'Where is likely to have a lot of fire extinguishers?' with the options garage, hospital, boat, house doll house? Provide a straightforward explanation. 
","2. The correct answer is (B) hospital. A hospital is likely to have a lot of fire extinguishers because it has many patients and staff who need to be protected from fire hazards. A garage, a boat, a house, and a doll house are less likely to have a lot of fire extinguishers compared to a hospital.

"
Where is likely to have a popular delicatessen?,"['city center', 'mall', 'shop', 'michigan', 'large city']","Questions: Where is likely to have a popular delicatessen?, Choices: (A) city center, (B) mall, (C) shop, (D) michigan, (E) large city. What is the correct answer to the question 'Where is likely to have a popular delicatessen?' with the options city center, mall, shop, michigan large city? Provide a straightforward explanation. 
","3. The correct answer is (A) city center. A city center is likely to have a popular delicatessen because it has a high concentration of people and businesses who enjoy and sell specialty foods. A mall, a shop, Michigan, and a large city are less likely to have a popular delicatessen compared to a city center.

"
Where is likely to have a small kitchenette?,"['lunch room', 'house', 'apartment', 'hotel room', 'cheap motel']","Questions: Where is likely to have a small kitchenette?, Choices: (A) lunch room, (B) house, (C) apartment, (D) hotel room, (E) cheap motel. What is the correct answer to the question 'Where is likely to have a small kitchenette?' with the options lunch room, house, apartment, hotel room cheap motel? Provide a straightforward explanation. 
","4. The correct answer is (D) hotel room. A hotel room is likely to have a small kitchenette because it provides basic cooking facilities for guests who want to prepare their own meals. A lunch room, a house, an apartment, and a cheap motel are less likely to have a small kitchenette compared to a hotel room.

"
Where is likely to have a walk in type wardrobe?,"['recreational vehicle', 'clothes cupboard', 'house', 'mansion', 'bedroom']","Questions: Where is likely to have a walk in type wardrobe?, Choices: (A) recreational vehicle, (B) clothes cupboard, (C) house, (D) mansion, (E) bedroom. What is the correct answer to the question 'Where is likely to have a walk in type wardrobe?' with the options recreational vehicle, clothes cupboard, house, mansion bedroom? Provide a straightforward explanation. 
","5. The correct answer is (D) mansion. A mansion is likely to have a walk in type wardrobe because it has a lot of space and luxury for storing clothes and accessories. A recreational vehicle, a clothes cupboard, a house, and a bedroom are less likely to have a walk in type wardrobe compared to a mansion.

"
Where is likely to have an open air market?,"['city', 'village', 'field', 'rural area', 'buy fresh vegetables']","Questions: Where is likely to have an open air market?, Choices: (A) city, (B) village, (C) field, (D) rural area, (E) buy fresh vegetables. What is the correct answer to the question 'Where is likely to have an open air market?' with the options city, village, field, rural area buy fresh vegetables? Provide a straightforward explanation. 
","6. The correct answer is (B) village. A village is likely to have an open air market because it has a rural and traditional way of life where people sell and buy fresh produce and goods. A city, a field, a rural area, and buying fresh vegetables are less likely to have an open air market compared to a village.

"
Where is lint unlikely to be?,"['rug', 'laundromat', 'purse', 'dryer', 'pocket']","Questions: Where is lint unlikely to be?, Choices: (A) rug, (B) laundromat, (C) purse, (D) dryer, (E) pocket. What is the correct answer to the question 'Where is lint unlikely to be?' with the options rug, laundromat, purse, dryer pocket? Provide a straightforward explanation. 
","7. The correct answer is (D) dryer. A dryer is unlikely to have lint because it has a filter that collects and removes lint from the clothes. A rug, a laundromat, a purse, and a pocket are more likely to have lint compared to a dryer.

"
Where is liquor usually stored in a home?,"['fraternity house', 'cabinet', 'bar', 'soft drink', 'night stand']","Questions: Where is liquor usually stored in a home?, Choices: (A) fraternity house, (B) cabinet, (C) bar, (D) soft drink, (E) night stand. What is the correct answer to the question 'Where is liquor usually stored in a home?' with the options fraternity house, cabinet, bar, soft drink night stand? Provide a straightforward explanation. 
","8. The correct answer is (B) cabinet. Liquor is usually stored in a cabinet in a home because it keeps it out of sight and reach of children and guests. A fraternity house, a bar, a soft drink, and a night stand are less likely to be places where liquor is usually stored in a home compared to a cabinet.

"
Where is microphone boom likely to be used to record an album?,"['radio station', 'recording studio', 'concert', 'tv studio', 'new york']","Questions: Where is microphone boom likely to be used to record an album?, Choices: (A) radio station, (B) recording studio, (C) concert, (D) tv studio, (E) new york. What is the correct answer to the question 'Where is microphone boom likely to be used to record an album?' with the options radio station, recording studio, concert, tv studio new york? Provide a straightforward explanation. 
","9. The correct answer is (B) recording studio. A microphone boom is likely to be used to record an album in a recording studio because it allows the singer to adjust the position and angle of the microphone for optimal sound quality. A radio station, a concert, a tv studio, and New York are less likely to be places where a microphone boom is used to record an album compared to a recording studio.

"
Where is mountain marmot likely ot live?,"['north america', 'northern hemisphere', 'tree', 'colorado', 'in wild']","Questions: Where is mountain marmot likely ot live?, Choices: (A) north america, (B) northern hemisphere, (C) tree, (D) colorado, (E) in wild. What is the correct answer to the question 'Where is mountain marmot likely ot live?' with the options north america, northern hemisphere, tree, colorado in wild? Provide a straightforward explanation. 
","10. The correct answer is (E) in wild. A mountain marmot is likely to live in the wild because it is a wild animal that inhabits alpine habitats. North America, the northern hemisphere, a tree, and Colorado are less specific and accurate answers to where a mountain marmot is likely to live compared to the wild."
Where is music likely to be playing in a elevator?,"['at hotel', 'apartment', 'mall', 'park', 'building']","Questions: Where is music likely to be playing in a elevator?, Choices: (A) at hotel, (B) apartment, (C) mall, (D) park, (E) building. What is the correct answer to the question 'Where is music likely to be playing in a elevator?' with the options at hotel, apartment, mall, park building? Provide a straightforward explanation. 
","1. The correct answer is **(C) mall**. Music is likely to be playing in an elevator in a mall because it creates a pleasant atmosphere for the shoppers and reduces the boredom of waiting. The other options are less likely because music in an elevator might be considered intrusive or unnecessary in those places.

"
