premise,hypothesis,rationale,prompt
"The man was crass and rude, all the what in the office filed a complaint together?","['lady', 'wifes husband', 'women', 'her', 'female person']","1. The correct answer is **(C) women**. The word 'women' is a plural noun that refers to adult female humans. It is the most appropriate word to fill in the blank in the sentence. The other choices are either singular nouns (lady, wifes husband, her, female person) or grammatically incorrect (wifes husband, female person).

","Questions: The man was crass and rude, all the what in the office filed a complaint together?, Choices: (A) lady, (B) wifes husband, (C) women, (D) her, (E) female person. What is the correct answer to the question 'The man was crass and rude, all the what in the office filed a complaint together?' with the options lady, wifes husband, women, her female person? Provide a straightforward explanation. 
"
The bookend was on a shelf in what location?,"['bookshelf', 'pair', 'school cafeteria', 'library book', 'school library']","2. The correct answer is **(E) school library**. The word 'bookend' is a noun that refers to a support placed at the end of a row of books to keep them upright. It is usually found on a shelf in a library, which is a place where books are kept for public use. The other choices are either not locations (bookshelf, pair, library book) or not places where bookends are commonly found (school cafeteria).

","Questions: The bookend was on a shelf in what location?, Choices: (A) bookshelf, (B) pair, (C) school cafeteria, (D) library book, (E) school library. What is the correct answer to the question 'The bookend was on a shelf in what location?' with the options bookshelf, pair, school cafeteria, library book school library? Provide a straightforward explanation. 
"
The glass bottle ha a symbol on the bottom.  This symbol told customers what about the bottle?,"['combustible', 'dirty', 'clear', 'very fragile', 'recyclable']","3. The correct answer is **(E) recyclable**. The word 'recyclable' is an adjective that describes something that can be processed and used again. A glass bottle may have a symbol on the bottom that indicates that it can be recycled, which is a way of reducing waste and protecting the environment. The other choices are either not relevant to the bottle (combustible, dirty, clear, very fragile) or not something that a symbol would tell customers (very fragile).

","Questions: The glass bottle ha a symbol on the bottom.  This symbol told customers what about the bottle?, Choices: (A) combustible, (B) dirty, (C) clear, (D) very fragile, (E) recyclable. What is the correct answer to the question 'The glass bottle ha a symbol on the bottom.  This symbol told customers what about the bottle?' with the options combustible, dirty, clear, very fragile recyclable? Provide a straightforward explanation. 
"
The glass window was transparent and thin.   James leaned on ed on it and it cracked.  It was what?,"['soft', 'clear', 'half empty', 'recyclable', 'very fragile']","4. The correct answer is **(E) very fragile**. The phrase 'very fragile' is an adjective phrase that describes something that is easily broken or damaged. A glass window that is transparent and thin may crack if someone leans on it, which shows that it is very fragile. The other choices are either not descriptive of the window (soft, clear, half empty, recyclable) or not something that would cause it to crack (soft, half empty, recyclable).

","Questions: The glass window was transparent and thin.   James leaned on ed on it and it cracked.  It was what?, Choices: (A) soft, (B) clear, (C) half empty, (D) recyclable, (E) very fragile. What is the correct answer to the question 'The glass window was transparent and thin.   James leaned on ed on it and it cracked.  It was what?' with the options soft, clear, half empty, recyclable very fragile? Provide a straightforward explanation. 
"
The government decided it was time to allow companies to do the practice they once what?,"['deny', 'permitted', 'forbid', 'reject', 'prohibit']","5. The correct answer is **(C) forbid**. The word 'forbid' is a verb that means to refuse to allow something or to order someone not to do something. The sentence implies that the government had previously banned a certain practice that they now decided to allow, which means that they had once forbidden it. The other choices are either not synonyms of 'forbid' (deny, permitted, reject, prohibit) or not grammatically correct (permitted, prohibit).

","Questions: The government decided it was time to allow companies to do the practice they once what?, Choices: (A) deny, (B) permitted, (C) forbid, (D) reject, (E) prohibit. What is the correct answer to the question 'The government decided it was time to allow companies to do the practice they once what?' with the options deny, permitted, forbid, reject prohibit? Provide a straightforward explanation. 
"
The graveyard is usually found on the outskirts of what group of homes and businesses?,"['city', 'arlington', 'church property', 'every town', 'city']","6. The correct answer is **(C) church property**. The phrase 'church property' is a noun phrase that refers to land or buildings that belong to a church or a religious organization. A graveyard is a place where dead people are buried, and it is usually found on the outskirts of a church property, which is a sacred and respectful place. The other choices are either too general (city, every town) or not related to graveyards (arlington, city).

","Questions: The graveyard is usually found on the outskirts of what group of homes and businesses?, Choices: (A) city, (B) arlington, (C) church property, (D) every town, (E) city. What is the correct answer to the question 'The graveyard is usually found on the outskirts of what group of homes and businesses?' with the options city, arlington, church property, every town city? Provide a straightforward explanation. 
"
"Where can you buy copy paper, pens and desks?","['computer printer', ""artist's studio"", 'office supply store', 'classroom', 'supermarket']","7. The correct answer is **(C) office supply store**. The phrase 'office supply store' is a noun phrase that refers to a shop that sells items that are used in offices, such as copy paper, pens and desks. It is the most logical place where you can buy these items. The other choices are either not places where you can buy these items (computer printer, artist's studio, classroom, supermarket) or not specific enough (computer printer, artist's studio).

","Questions: Where can you buy copy paper, pens and desks?, Choices: (A) computer printer, (B) artist's studio, (C) office supply store, (D) classroom, (E) supermarket. What is the correct answer to the question 'Where can you buy copy paper, pens and desks?' with the options computer printer, artist's studio, office supply store, classroom supermarket? Provide a straightforward explanation. 
"
What geological feature is made mostly of rock?,"['countryside', 'ground', 'street', 'mountain range', 'bridge']","8. The correct answer is **(D) mountain range**. The phrase 'mountain range' is a noun phrase that refers to a series of mountains that are connected by high ground. A mountain range is a geological feature that is made mostly of rock, which is a hard solid material that forms part of the earth's crust. The other choices are either not geological features (countryside, street, bridge) or not made mostly of rock (ground, bridge).

","Questions: What geological feature is made mostly of rock?, Choices: (A) countryside, (B) ground, (C) street, (D) mountain range, (E) bridge. What is the correct answer to the question 'What geological feature is made mostly of rock?' with the options countryside, ground, street, mountain range bridge? Provide a straightforward explanation. 
"
What grows from all mammal skin?,"['fur', 'nipples', 'hair', 'fur', 'spinal cord']","9. The correct answer is **(C) hair**. The word 'hair' is a noun that refers to the thin strands that grow from the skin of mammals, which are animals that have hair or fur, feed their young with milk, and have a backbone. Hair is the most general and accurate word to describe what grows from all mammal skin. The other choices are either not something that grows from the skin (nipples, spinal cord) or not applicable to all mammals (fur, fur).

","Questions: What grows from all mammal skin?, Choices: (A) fur, (B) nipples, (C) hair, (D) fur, (E) spinal cord. What is the correct answer to the question 'What grows from all mammal skin?' with the options fur, nipples, hair, fur spinal cord? Provide a straightforward explanation. 
"
People who do not care about quality food are said to have what?,"['cheap', 'convenient', 'bad taste', 'bad workmanship', 'poor workmanship']","10. The correct answer is **(C) bad taste**. The phrase 'bad taste' is a noun phrase that refers to a lack of good judgment or appreciation of what is appropriate or attractive, especially in matters of art, literature, or food. People who do not care about quality food are said to have bad taste, which means that they do not value or enjoy good food. The other choices are either not related to food (cheap, convenient, bad workmanship, poor workmanship) or not something that people are said to have (cheap, convenient, bad workmanship, poor workmanship).","Questions: People who do not care about quality food are said to have what?, Choices: (A) cheap, (B) convenient, (C) bad taste, (D) bad workmanship, (E) poor workmanship. What is the correct answer to the question 'People who do not care about quality food are said to have what?' with the options cheap, convenient, bad taste, bad workmanship poor workmanship? Provide a straightforward explanation. 
"
Playing chess is like most things where practice helps to build your what at it?,"['sharking abilities', 'opponent', 'thought', 'skill', 'intelligence']","1. The correct answer is (D) skill. Playing chess is like most things where practice helps to build your skill at it. Skill is the ability to do something well, especially because of training or experience. Sharking abilities, opponent, thought, and intelligence are not things that practice helps to build at chess.

","Questions: Playing chess is like most things where practice helps to build your what at it?, Choices: (A) sharking abilities, (B) opponent, (C) thought, (D) skill, (E) intelligence. What is the correct answer to the question 'Playing chess is like most things where practice helps to build your what at it?' with the options sharking abilities, opponent, thought, skill intelligence? Provide a straightforward explanation. 
"
"Joe and Jim were running errands together.  They had a lot to do and very little time to do it, so they experienced a lot of what?","['stress', 'aggravation', 'efficiency', 'tiredness', 'net gain']","2. The correct answer is (A) stress. Joe and Jim were running errands together. They had a lot to do and very little time to do it, so they experienced a lot of stress. Stress is the feeling of being under too much pressure or strain. Aggravation, efficiency, tiredness, and net gain are not things that Joe and Jim experienced a lot of because of their situation.

","Questions: Joe and Jim were running errands together.  They had a lot to do and very little time to do it, so they experienced a lot of what?, Choices: (A) stress, (B) aggravation, (C) efficiency, (D) tiredness, (E) net gain. What is the correct answer to the question 'Joe and Jim were running errands together.  They had a lot to do and very little time to do it, so they experienced a lot of what?' with the options stress, aggravation, efficiency, tiredness net gain? Provide a straightforward explanation. 
"
"Joe didn't have any concern for small things.   Some people thought that he was irresponsible, but Sarah insisted he was just what?","['uncaring', 'indifference', 'arrogant', 'carefree', 'carelessness']","3. The correct answer is (D) carefree. Joe didn't have any concern for small things. Some people thought that he was irresponsible, but Sarah insisted he was just carefree. Carefree is an adjective that means not worrying about anything. Uncaring, indifference, arrogant, and carelessness are not words that describe Joe's attitude according to Sarah.

","Questions: Joe didn't have any concern for small things.   Some people thought that he was irresponsible, but Sarah insisted he was just what?, Choices: (A) uncaring, (B) indifference, (C) arrogant, (D) carefree, (E) carelessness. What is the correct answer to the question 'Joe didn't have any concern for small things.   Some people thought that he was irresponsible, but Sarah insisted he was just what?' with the options uncaring, indifference, arrogant, carefree carelessness? Provide a straightforward explanation. 
"
"Joe didn't remember to tell Marsha something important before she left home, so he spent an hour desperately doing what?","['problems', 'writing down', 'being prepared', 'phoning', 'panicking']","4. The correct answer is (D) phoning. Joe didn't remember to tell Marsha something important before she left home, so he spent an hour desperately phoning. Phoning is the act of making a phone call. Problems, writing down, being prepared, and panicking are not things that Joe spent an hour desperately doing.

","Questions: Joe didn't remember to tell Marsha something important before she left home, so he spent an hour desperately doing what?, Choices: (A) problems, (B) writing down, (C) being prepared, (D) phoning, (E) panicking. What is the correct answer to the question 'Joe didn't remember to tell Marsha something important before she left home, so he spent an hour desperately doing what?' with the options problems, writing down, being prepared, phoning panicking? Provide a straightforward explanation. 
"
"Joe found that he was stabbing a man to death.  He didn't expect to be doing that, he was just angry. He was scared of the consequences  Thecollapsed covered with what?","['knife wounds', 'knives', 'bleeding', 'law suit', 'jail time']","5. The correct answer is (A) knife wounds. Joe found that he was stabbing a man to death. He didn't expect to be doing that, he was just angry. He was scared of the consequences. The collapsed man was covered with knife wounds. Knife wounds are injuries caused by a sharp blade. Knives, bleeding, law suit, and jail time are not things that the collapsed man was covered with.

","Questions: Joe found that he was stabbing a man to death.  He didn't expect to be doing that, he was just angry. He was scared of the consequences  Thecollapsed covered with what?, Choices: (A) knife wounds, (B) knives, (C) bleeding, (D) law suit, (E) jail time. What is the correct answer to the question 'Joe found that he was stabbing a man to death.  He didn't expect to be doing that, he was just angry. He was scared of the consequences  Thecollapsed covered with what?' with the options knife wounds, knives, bleeding, law suit jail time? Provide a straightforward explanation. 
"
"Joe found that shopping  was dangerous for him.  Even though he had a great job, or maybe because of it, he found himself doing this a great deal. There were always funds left over, but not enough for his taste.  What was he doing when he was shopping?","['overspending', 'loss of money', 'run out of money', 'spending money', 'deficit']","6. The correct answer is (A) overspending. Joe found that shopping was dangerous for him. Even though he had a great job, or maybe because of it, he found himself doing this a great deal. There were always funds left over, but not enough for his taste. What he was doing when he was shopping was overspending. Overspending is the act of spending more money than one can afford. Loss of money, run out of money, spending money, and deficit are not things that Joe was doing when he was shopping.

","Questions: Joe found that shopping  was dangerous for him.  Even though he had a great job, or maybe because of it, he found himself doing this a great deal. There were always funds left over, but not enough for his taste.  What was he doing when he was shopping?, Choices: (A) overspending, (B) loss of money, (C) run out of money, (D) spending money, (E) deficit. What is the correct answer to the question 'Joe found that shopping  was dangerous for him.  Even though he had a great job, or maybe because of it, he found himself doing this a great deal. There were always funds left over, but not enough for his taste.  What was he doing when he was shopping?' with the options overspending, loss of money, run out of money, spending money deficit? Provide a straightforward explanation. 
"
