premise,hypothesis,rationale,prompt
"You might grab what to smash a large, frightening bug when you're outdoors?","['tree', 'garden', 'meadow', 'rock', 'rug']","1. The correct answer is **(D) rock**. You might grab a rock to smash a large, frightening bug when you're outdoors because a rock is a hard and heavy object that can crush the bug easily. A tree, a garden, and a meadow are not objects that you can grab, and a rug is too soft and flexible to smash a bug effectively.

","Questions: You might grab what to smash a large, frightening bug when you're outdoors?, Choices: (A) tree, (B) garden, (C) meadow, (D) rock, (E) rug. What is the correct answer to the question 'You might grab what to smash a large, frightening bug when you're outdoors?' with the options tree, garden, meadow, rock rug? Provide a straightforward explanation. 
"
A blowfish lives free. He lives on his own. Where does he live?,"['fish market', 'pet shop', 'great outdoors', 'river', 'little mermaid']","2. The correct answer is **(C) great outdoors**. A blowfish lives free and on his own in the great outdoors because that is the natural habitat of blowfish. They are marine fish that live in tropical and subtropical waters. A fish market, a pet shop, a river, and a little mermaid are not places where a blowfish lives free and on his own.

","Questions: A blowfish lives free. He lives on his own. Where does he live?, Choices: (A) fish market, (B) pet shop, (C) great outdoors, (D) river, (E) little mermaid. What is the correct answer to the question 'A blowfish lives free. He lives on his own. Where does he live?' with the options fish market, pet shop, great outdoors, river little mermaid? Provide a straightforward explanation. 
"
A child needs caregivers.  Who are the most common caregivers for a child?,"['become adult', 'adult', 'swing set', 'parent', 'father']","3. The correct answer is **(D) parent**. The most common caregivers for a child are their parents because parents are the biological or legal guardians of the child who are responsible for their well-being and development. An adult is a general term that does not specify the relationship with the child, a swing set is a playground equipment that is not a caregiver, and a father is a specific type of parent that excludes mothers.

","Questions: A child needs caregivers.  Who are the most common caregivers for a child?, Choices: (A) become adult, (B) adult, (C) swing set, (D) parent, (E) father. What is the correct answer to the question 'A child needs caregivers.  Who are the most common caregivers for a child?' with the options become adult, adult, swing set, parent father? Provide a straightforward explanation. 
"
"The hot dogs were extremely expensive despite where they walked, where were they?","['movie theater', 'disneyland', 'park', 'sporting event', 'bowling alley']","4. The correct answer is **(B) disneyland**. The hot dogs were extremely expensive despite where they walked because they were at Disneyland, which is a famous theme park that charges high prices for food and drinks. A movie theater, a park, a sporting event, and a bowling alley are not places where hot dogs are extremely expensive regardless of where you walk.

","Questions: The hot dogs were extremely expensive despite where they walked, where were they?, Choices: (A) movie theater, (B) disneyland, (C) park, (D) sporting event, (E) bowling alley. What is the correct answer to the question 'The hot dogs were extremely expensive despite where they walked, where were they?' with the options movie theater, disneyland, park, sporting event bowling alley? Provide a straightforward explanation. 
"
"The hot dogs were selling fast at intermission, where were they being sold?","['park', 'disneyland', 'apartment', 'cows', 'sporting event']","5. The correct answer is **(E) sporting event**. The hot dogs were selling fast at intermission because they were being sold at a sporting event, which is a public entertainment that attracts many people who like to eat snacks during breaks. A park, a disneyland, an apartment, and a cow are not places where hot dogs are sold or where there is an intermission.

","Questions: The hot dogs were selling fast at intermission, where were they being sold?, Choices: (A) park, (B) disneyland, (C) apartment, (D) cows, (E) sporting event. What is the correct answer to the question 'The hot dogs were selling fast at intermission, where were they being sold?' with the options park, disneyland, apartment, cows sporting event? Provide a straightforward explanation. 
"
"The hot weather gave me a heatstroke, what did I need to do immediately to stay alive?","['cool off', 'build a snowman', 'cut hair', 'eat ice cream', 'swim']","6. The correct answer is **(A) cool off**. The hot weather gave me a heatstroke, which is a serious condition that occurs when the body overheats and cannot regulate its temperature. To stay alive, I needed to cool off immediately by moving to a shady or air-conditioned place, drinking water, and applying cold compresses to my skin. Building a snowman, cutting hair, eating ice cream, and swimming are not actions that would help me survive a heatstroke.

","Questions: The hot weather gave me a heatstroke, what did I need to do immediately to stay alive?, Choices: (A) cool off, (B) build a snowman, (C) cut hair, (D) eat ice cream, (E) swim. What is the correct answer to the question 'The hot weather gave me a heatstroke, what did I need to do immediately to stay alive?' with the options cool off, build a snowman, cut hair, eat ice cream swim? Provide a straightforward explanation. 
"
"The hot weather made me crave something cold, what did I seek?","['swim', 'have haircut', 'cool off', 'eat ice cream', 'eat ice cream']","7. The correct answer is **(D) eat ice cream**. The hot weather made me crave something cold, which is a natural desire to lower my body temperature and refresh myself. I sought to eat ice cream, which is a frozen dessert that is sweet and satisfying. Swimming, having a haircut, and cooling off are also ways to cope with the heat, but they are not something that I crave.

","Questions: The hot weather made me crave something cold, what did I seek?, Choices: (A) swim, (B) have haircut, (C) cool off, (D) eat ice cream, (E) eat ice cream. What is the correct answer to the question 'The hot weather made me crave something cold, what did I seek?' with the options swim, have haircut, cool off, eat ice cream eat ice cream? Provide a straightforward explanation. 
"
"The human looked down longingly as he sat in the orbiting space station, what did he miss?","['nearest house', 'workplace', 'surface of earth', 'office block', 'his feet']","8. The correct answer is **(C) surface of earth**. The human looked down longingly as he sat in the orbiting space station, which is a large artificial satellite that circles around the earth. He missed the surface of earth, which is his home planet where he was born and lived most of his life. A nearest house, a workplace, an office block, and his feet are not things that he would miss from the space station.

","Questions: The human looked down longingly as he sat in the orbiting space station, what did he miss?, Choices: (A) nearest house, (B) workplace, (C) surface of earth, (D) office block, (E) his feet. What is the correct answer to the question 'The human looked down longingly as he sat in the orbiting space station, what did he miss?' with the options nearest house, workplace, surface of earth, office block his feet? Provide a straightforward explanation. 
"
"The human wanted to give a bone as a reward, where did he put it?","['skeleton', 'human body', ""dog's mouth"", 'fresh fish', 'barn']","9. The correct answer is **(C) dog's mouth**. The human wanted to give a bone as a reward, which is a common treat for dogs. He put it in the dog's mouth, which is where the dog can chew and enjoy the bone. A skeleton, a human body, a fresh fish, and a barn are not places where the human would put a bone as a reward.

","Questions: The human wanted to give a bone as a reward, where did he put it?, Choices: (A) skeleton, (B) human body, (C) dog's mouth, (D) fresh fish, (E) barn. What is the correct answer to the question 'The human wanted to give a bone as a reward, where did he put it?' with the options skeleton, human body, dog's mouth, fresh fish barn? Provide a straightforward explanation. 
"
"The human was cold and just needed to step inside quickly, what did he look for?","['nearest house', 'school', 'warm place', 'surface of earth', 'office block']","10. The correct answer is **(C) warm place**. The human was cold and just needed to step inside quickly, which is a situation that requires finding a shelter that can provide heat. He looked for a warm place, which is any indoor location that has a heating system or a fireplace. A nearest house, a school, a surface of earth, and an office block are not necessarily warm places, and they may not be accessible or nearby.","Questions: The human was cold and just needed to step inside quickly, what did he look for?, Choices: (A) nearest house, (B) school, (C) warm place, (D) surface of earth, (E) office block. What is the correct answer to the question 'The human was cold and just needed to step inside quickly, what did he look for?' with the options nearest house, school, warm place, surface of earth office block? Provide a straightforward explanation. 
"
