premise,hypothesis,prompt,rationale
Where would people go if they want to talk to someone?,"['opera', 'park', 'end of line', 'bus depot', ""neighbor's house""]","Questions: Where would people go if they want to talk to someone?, Choices: (A) opera, (B) park, (C) end of line, (D) bus depot, (E) neighbor's house. For the question 'Where would people go if they want to talk to someone?', what is the correct answer among the choices opera, park, end of line, bus depot neighbor's house? Explain the cause-and-effect relationship between the question and your chosen answer.
","1. The correct answer is (B) park. People would go to a park if they want to talk to someone because parks are public places where people can meet and socialize. Parks also have a natural and relaxing environment that can facilitate conversation. Opera, end of line, bus depot, and neighbor's house are not ideal places for talking to someone because they are either too noisy, too crowded, too private, or too intrusive.
"
Where would rock be found in the desert?,"['oasis', 'surface of earth', 'countryside', 'mountains', 'bridge']","Questions: Where would rock be found in the desert?, Choices: (A) oasis, (B) surface of earth, (C) countryside, (D) mountains, (E) bridge. For the question 'Where would rock be found in the desert?', what is the correct answer among the choices oasis, surface of earth, countryside, mountains bridge? Explain the cause-and-effect relationship between the question and your chosen answer.
","2. The correct answer is (B) surface of earth. Rock would be found on the surface of earth in the desert because deserts are dry and barren regions where rocks are exposed and not covered by soil or vegetation. Oasis, countryside, mountains, and bridge are not places where rock would be found in the desert because they are either too rare, too green, too high, or too artificial.
"
Where would seats be used to watch a movie?,"['cinema', 'movies', 'hockey game', 'theater', 'opera']","Questions: Where would seats be used to watch a movie?, Choices: (A) cinema, (B) movies, (C) hockey game, (D) theater, (E) opera. For the question 'Where would seats be used to watch a movie?', what is the correct answer among the choices cinema, movies, hockey game, theater opera? Explain the cause-and-effect relationship between the question and your chosen answer.
","3. The correct answer is (D) theater. Seats would be used to watch a movie in a theater because theaters are venues where movies are projected on a large screen and people can sit and enjoy them. Cinema, movies, hockey game, and opera are not correct answers because they are either synonyms of theater, the object of watching, a different type of entertainment, or a different genre of performance.
"
Where would someone be likely to see a moving airplane?,"['military base', 'airport', 'sky', 'airplane hangar', 'hanger']","Questions: Where would someone be likely to see a moving airplane?, Choices: (A) military base, (B) airport, (C) sky, (D) airplane hangar, (E) hanger. For the question 'Where would someone be likely to see a moving airplane?', what is the correct answer among the choices military base, airport, sky, airplane hangar hanger? Explain the cause-and-effect relationship between the question and your chosen answer.
","4. The correct answer is (C) sky. Someone would be likely to see a moving airplane in the sky because airplanes are flying vehicles that travel in the air. Military base, airport, airplane hangar, and hanger are not correct answers because they are either places where airplanes are stationed, landed, stored, or repaired, but not necessarily moving.
"
Where would someone be likely to store a double edge razor?,"['pocket', 'shower', 'chemist', 'drug store', 'shaving kit']","Questions: Where would someone be likely to store a double edge razor?, Choices: (A) pocket, (B) shower, (C) chemist, (D) drug store, (E) shaving kit. For the question 'Where would someone be likely to store a double edge razor?', what is the correct answer among the choices pocket, shower, chemist, drug store shaving kit? Explain the cause-and-effect relationship between the question and your chosen answer.
","5. The correct answer is (E) shaving kit. Someone would be likely to store a double edge razor in a shaving kit because a shaving kit is a set of tools and products that are used for shaving. A double edge razor is a type of razor that has two sharp edges on both sides of the blade. Pocket, shower, chemist, and drug store are not correct answers because they are either unsafe, unsanitary, irrelevant, or unnecessary places to store a double edge razor.
"
Where would someone bring you a cup?,"['apartment', 'closet', 'restaurant', 'table', 'party']","Questions: Where would someone bring you a cup?, Choices: (A) apartment, (B) closet, (C) restaurant, (D) table, (E) party. For the question 'Where would someone bring you a cup?', what is the correct answer among the choices apartment, closet, restaurant, table party? Explain the cause-and-effect relationship between the question and your chosen answer.
","6. The correct answer is (C) restaurant. Someone would bring you a cup in a restaurant because a restaurant is a place where people can order and eat food and drinks. A cup is a container that is used to hold liquids such as water, coffee, tea, etc. Apartment, closet, table, and party are not correct answers because they are either too vague, too hidden, too specific, or too informal places to bring you a cup.
"
Where would someone find freshest possible eggs?,"['supermarket', 'grocery store', 'in a salad', ""bird's nest"", 'chicken coop']","Questions: Where would someone find freshest possible eggs?, Choices: (A) supermarket, (B) grocery store, (C) in a salad, (D) bird's nest, (E) chicken coop. For the question 'Where would someone find freshest possible eggs?', what is the correct answer among the choices supermarket, grocery store, in a salad, bird's nest chicken coop? Explain the cause-and-effect relationship between the question and your chosen answer.
","7. The correct answer is (E) chicken coop. Someone would find the freshest possible eggs in a chicken coop because a chicken coop is a structure where chickens are kept and where they lay eggs. Eggs are the reproductive cells of chickens that can also be eaten as food. Supermarket, grocery store, in a salad, and bird's nest are not correct answers because they are either too processed, too packaged, too cooked, or too different places to find the freshest possible eggs.
"
Where would someone find it odd to discover bread?,"['dinner', 'supermarket', 'refrigerator', 'car', 'jail']","Questions: Where would someone find it odd to discover bread?, Choices: (A) dinner, (B) supermarket, (C) refrigerator, (D) car, (E) jail. For the question 'Where would someone find it odd to discover bread?', what is the correct answer among the choices dinner, supermarket, refrigerator, car jail? Explain the cause-and-effect relationship between the question and your chosen answer.
","8. The correct answer is (D) car. Someone would find it odd to discover bread in a car because a car is a vehicle that is used for transportation and not for storing food. Bread is a baked food that is made from flour, water, yeast, etc. Dinner, supermarket, refrigerator, and jail are not correct answers because they are either normal, expected, appropriate, or understandable places to find bread.
"
Where would someone have to carry their brass instrument while they played?,"['punk rock band', 'marching band', 'brass band', 'annoy mom', 'jazz band']","Questions: Where would someone have to carry their brass instrument while they played?, Choices: (A) punk rock band, (B) marching band, (C) brass band, (D) annoy mom, (E) jazz band. For the question 'Where would someone have to carry their brass instrument while they played?', what is the correct answer among the choices punk rock band, marching band, brass band, annoy mom jazz band? Explain the cause-and-effect relationship between the question and your chosen answer.
","9. The correct answer is (B) marching band. Someone would have to carry their brass instrument while they played in a marching band because a marching band is a group of musicians who play music while marching in formation. Brass instruments are musical instruments that produce sound by vibrating air in a metal tube. Punk rock band, brass band, annoy mom, and jazz band are not correct answers because they are either incompatible, stationary, disrespectful, or optional places to carry their brass instrument while they played.
"
Where would someone keep a grandfather clock?,"['desk', 'exhibition hall', 'own bedroom', 'house', 'office building']","Questions: Where would someone keep a grandfather clock?, Choices: (A) desk, (B) exhibition hall, (C) own bedroom, (D) house, (E) office building. For the question 'Where would someone keep a grandfather clock?', what is the correct answer among the choices desk, exhibition hall, own bedroom, house office building? Explain the cause-and-effect relationship between the question and your chosen answer.
","10. The correct answer is (D) house. Someone would keep a grandfather clock in a house because a house is a building that is used for living and a grandfather clock is a tall, freestanding, pendulum-driven clock that chimes the hour. A grandfather clock is a traditional and decorative piece of furniture that can enhance the appearance of a house. Desk, exhibition hall, own bedroom, and office building are not correct answers because they are either too small, too public, too personal, or too professional places to keep a grandfather clock."
